Lat,Lon,Name,City
23.3061,85.0208,Berro,Ranchi
23.3878,85.3694,Buti,Ranchi
23.5681,85.1333,Burmoo,Ranchi
23.3875,85.3694,Bunti,Ranchi
23.1583,85.5889,Bundu,Ranchi
23.4167,85.4025,Bit More,Ranchi
23.2628,85.3117,Bidge Frord,Ranchi
23.3061,85.0211,Berro1,Ranchi
23.2667,85.6861,Barwadag,Ranchi
23.3728,85.2792,Bajra,Ranchi
23.3944,85.5169,Angara1,Ranchi
23.3944,85.5167,Angara,Ranchi
23.3411,85.3158,AG Office,Ranchi
28.6392,77.2653,Krishna Kunj,Delhi
28.6447,77.2528,Old Delhi Rstn,Delhi
28.6428,77.2036,Pachkuian Road,Delhi
28.6292,77.2375,Parsidharamsala Dw,Delhi
28.6394,77.2489,Rajghat Pz,Delhi
28.6361,77.1944,Rajendra Nagar,Delhi
28.653,77.1924,WELL AT KAROL BAGH DELHI,Delhi
28.6399,77.1801,WELL AT RAJENDER NAGAR DELHI,Delhi
18.9319,72.8311,Bombay (Church Gate),Mumbai
18.8967,72.8111,Colaba (Dandi),Mumbai
18.9381,72.8367,Colaba-Fort,Mumbai
19.025,72.8444,Mahim,Mumbai
18.9692,72.8439,Mazgaon,Mumbai
18.9792,72.8347,Ranicha Bagh,Mumbai
18.9983,72.8186,Varli_Naka,Mumbai
13.0044,80.2625,Adayar,Chennai
13.0097,80.2553,Adayar Sports Club,Chennai
13.0167,80.2667,Adyar,Chennai
13.025,80.2583,Alwarpet,Chennai
13.0667,80.2278,Aminjikarai,Chennai
13.0172,80.2597,Andra Hopital,Chennai
13.0997,80.2867,Broad Way,Chennai
22.6072,88.3708,Bagbazar,Kolkata
22.5542,88.3894,Baishnabghata Patuli,Kolkata
22.5053,88.3656,Baishnabghata Patuli,Kolkata
22.545,88.3583,Ballyganj Maidan,Kolkata
22.5697,88.3606,CENTRAL KOLKATA,Kolkata
22.6161,88.3713,COSSIPORE - NORTH KOLKATA,Kolkata
22.6278,88.3892,Dumdum,Kolkata
28.6122,77.27,Akshardham D Pz,Delhi
28.6139,77.2692,Akshardham S Pz,Delhi
19.1656,72.8575,Goregaon,Mumbai
19.1417,72.7897,Madh,Mumbai
22.5422,88.3128,Garden Reach,Kolkata
22.5236,88.3611,Jadavpur,Kolkata
13.0383,80.2583,Mylapore,Chennai
13.0781,80.2828,Chepauk,Chennai
